ContractSuffix,DeltaPct,TargetDelta,N,Corr,StartDate,EndDate
(Jan 25),0.1,-0.001,186,0.15219245510879392,2024-04-22,2025-01-22
(Jan 25),0.5,-0.005,186,0.40244254670827134,2024-04-22,2025-01-22
(Jan 25),1.0,-0.01,186,0.5553722336341549,2024-04-22,2025-01-22
(Jan 25),2.0,-0.02,186,0.6389304215827738,2024-04-22,2025-01-22
(Jan 25),5.0,-0.05,186,0.6786188080521955,2024-04-22,2025-01-22
(Jan 25),10.0,-0.1,186,0.6323630178651569,2024-04-22,2025-01-22
(Jan 25),15.0,-0.15,186,0.6493724269734477,2024-04-22,2025-01-22
(Jan 25),20.0,-0.2,186,0.641220984238447,2024-04-22,2025-01-22
(Jan 25),25.0,-0.25,186,0.7080493848411523,2024-04-22,2025-01-22
(Jan 25),30.0,-0.3,186,0.6635033246891188,2024-04-22,2025-01-22
(Jan 25),35.0,-0.35,186,0.6655552680129837,2024-04-22,2025-01-22
(Jan 25),40.0,-0.4,186,0.6177495138973745,2024-04-22,2025-01-22
(Jan 25),45.0,-0.45,186,0.6196718460896056,2024-04-22,2025-01-22
(Jan 25),50.0,-0.5,186,0.6435164348566019,2024-04-22,2025-01-22
(Feb 25),0.1,-0.001,180,,2024-05-28,2025-02-19
(Feb 25),0.5,-0.005,180,0.45405654960213643,2024-05-28,2025-02-19
(Feb 25),1.0,-0.01,180,0.6027062158803476,2024-05-28,2025-02-19
(Feb 25),2.0,-0.02,180,0.6763665293907293,2024-05-28,2025-02-19
(Feb 25),5.0,-0.05,180,0.743326798471182,2024-05-28,2025-02-19
(Feb 25),10.0,-0.1,180,0.7160442014331361,2024-05-28,2025-02-19
(Feb 25),15.0,-0.15,180,0.7389777473267567,2024-05-28,2025-02-19
(Feb 25),20.0,-0.2,180,0.724155732942998,2024-05-28,2025-02-19
(Feb 25),25.0,-0.25,180,0.7427653126925151,2024-05-28,2025-02-19
(Feb 25),30.0,-0.3,180,0.7475576682124324,2024-05-28,2025-02-19
(Feb 25),35.0,-0.35,180,0.7333598403259229,2024-05-28,2025-02-19
(Feb 25),40.0,-0.4,180,0.7318107241137646,2024-05-28,2025-02-19
(Feb 25),45.0,-0.45,180,0.7341861159165213,2024-05-28,2025-02-19
(Feb 25),50.0,-0.5,180,0.7121944868159057,2024-05-28,2025-02-19
(Mar 25),0.1,-0.001,181,,2024-06-24,2025-03-18
(Mar 25),0.5,-0.005,181,0.3184171220499636,2024-06-24,2025-03-18
(Mar 25),1.0,-0.01,181,0.6261840154415693,2024-06-24,2025-03-18
(Mar 25),2.0,-0.02,181,0.7436459283510263,2024-06-24,2025-03-18
(Mar 25),5.0,-0.05,181,0.7757601807743918,2024-06-24,2025-03-18
(Mar 25),10.0,-0.1,181,0.7884791405444199,2024-06-24,2025-03-18
(Mar 25),15.0,-0.15,181,0.8012001413711923,2024-06-24,2025-03-18
(Mar 25),20.0,-0.2,181,0.7788970661436293,2024-06-24,2025-03-18
(Mar 25),25.0,-0.25,181,0.8311749040723864,2024-06-24,2025-03-18
(Mar 25),30.0,-0.3,181,0.8220250306692324,2024-06-24,2025-03-18
(Mar 25),35.0,-0.35,181,0.7802813130924399,2024-06-24,2025-03-18
(Mar 25),40.0,-0.4,181,0.8118052202221613,2024-06-24,2025-03-18
(Mar 25),45.0,-0.45,181,0.8046405063377007,2024-06-24,2025-03-18
(Mar 25),50.0,-0.5,181,0.8141489058263144,2024-06-24,2025-03-18
(Apr 25),0.1,-0.001,183,,2024-07-22,2025-04-16
(Apr 25),0.5,-0.005,183,0.6412298471793038,2024-07-22,2025-04-16
(Apr 25),1.0,-0.01,183,0.7417121088595823,2024-07-22,2025-04-16
(Apr 25),2.0,-0.02,183,0.8783461592321297,2024-07-22,2025-04-16
